Start Date,End Date
20180531.1200,20180607.1200
20180607.1200,20180614.1200
20180614.1200,20180621.1200
20180621.1200,20180628.1200
20180628.1200,20180705.1200
20180705.1200,20180712.1200
20180712.1200,20180719.1200
20180719.1200,20180726.1200
20180726.1200,20180802.1200
20180802.1200,20180809.1200
20180809.1200,20180816.1200
20180816.1200,20180823.1200
20180823.1200,20180830.1200
20180830.1200,20180906.1200
20180906.1200,20180913.1200
20180913.1200,20180920.1200
20180920.1200,20180927.1200
20180927.1200,20181004.1200
20181004.1200,20181011.1200
20181011.1200,20181018.1200
20181018.1200,20181025.1200
20181025.1200,20181101.1200
20181101.1200,20181108.1200
20181108.1200,20181115.1200
20181115.1200,20181122.1200
20181122.1200,20181129.1200
20181129.1200,20181206.1200
20181206.1200,20181213.1200
20181213.1200,20181220.1200
20181220.1200,20181227.1200
20181227.1200,20190103.1200
20190103.1200,20190110.1200
20190110.1200,20190117.1200
20190117.1200,20190124.1200
20190124.1200,20190131.1200
20190131.1200,20190207.1200
20190207.1200,20190214.1200
20190214.1200,20190221.1200
20190221.1200,20190228.1200
20190228.1200,20190307.1200
20190307.1200,20190314.1200
20190314.1200,20190321.1200
20190321.1200,20190328.1200
20190328.1200,20190404.1200
20190404.1200,20190411.1200
20190411.1200,20190418.1200
20190418.1200,20190425.1200
20190425.1200,20190502.1200
20190502.1200,20190509.1200
20190509.1200,20190516.1200
20190516.1200,20190523.1200
20190523.1200,20190530.1200
20190530.1200,20190601.1200
